=== RUN   TestResourceNumericCastSurvey
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"a\"","source":"$substring(\"abc\",0,1.5)","used":{"Work":67074,"Allocation":81932,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"0","source":"$round(1.25,-1.5)","used":{"Work":83953252,"Allocation":407264,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"c\"","source":"$substring(\"abc\",-1.5)","used":{"Work":67010,"Allocation":80524,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",1,-1.5)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",0,-1.5)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"1","source":"$round(1.25,0)","used":{"Work":83953252,"Allocation":407264,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",0)","used":{"Work":67116,"Allocation":80544,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",1,0)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",0,0)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
--- PASS: TestResourceNumericCastSurvey (0.00s)
PASS
ok  	github.com/generalbusiness-ai/jsonata/v206	0.290s
